date_start,date_end,event_name,event_url,even_loc
2016-01-18,2015-01-18,Bio-Nano molecular modelling workshop,http://www.bionano.org.au/content/bio-nano-computer-simulation-and-modelling-workshop,"Melbourne, AU"
2016-01-25,2016-01-28,Asia-Pacific Conference of Theoretical and Computational Chemistry,http://phys.cts.nthu.edu.tw/actnews/content.php?Sn=269,"Kaohsiung, Taiwan"
2016-01-27,2016-01-28,WORKSHOP: Modeling and Dynamics in Molecular Biophysics,http://physicsoflivingsystems.org/events/workshop-modeling-and-dynamics-in-molecular-biophysics-january-26-27-28-2016/,"Arlington, VA, USA"
2016-02-03,2016-02-09,Winterschool in computational chemistry,http://winterschool.cc/,online
2016-02-04,2016-02-08,Pacific Symposium on Biocomputing,http://psb.stanford.edu/,"Hawaii, US"
2016-02-07,2016-02-11,Lorne - proteins structure and function,http://www.lorneproteins.org/,"Lorne, AU"
2016-02-15,2016-02-18,Models for Protein Dynamics 1976-2016,http://www.cecam.org/workshop-1116.html,"Lausanne, Switzerland"
2016-02-15,2016-02-16,Advances and progress in drug design,https://www.smi-online.co.uk/pharmaceuticals/uk/drug-design,"London, UK"
2016-02-16,2016-02-19,Integrative methods in Structural Biology to enhance high impact research in health and disease,https://www.structuralbiology.eu/update/events/integrative-methods-in-structural-biology-to-enhance-high-impact-research-in-health-and-disease-392/,"Montevideo, Uruguay"
2016-02-19,2016-02-19,"Schrodinger workshop ""Computer Simulations of Macromolecules""",http://www.schrodinger.com/events/565/,"Innsbruck, Austria"
2016-02-21,2016-02-24,Structure-Based Drug Discovery,http://www.zingconferences.com/conferences/structure-based-drug-design-conference-2016/,"San Diego, US"
2016-02-26,2016-02-26,Drug Discovery for Ion Channels,http://www.biophysics.org/2016meeting/Program/SatelliteMeeting/tabid/6384/Default.aspx,"Los Angeles, US"
2016-02-27,2016-03-02,Biophysical Society Meeting 2016,https://www.biophysics.org/2016meeting/Main/tabid/6230/Default.aspx,"Los Angeles, US"
2016-02-29,2016-03-02,Multiscale methods for stochastic dynamical systems in biology,http://www.icms.org.uk/workshop.php?id=361,"Cambridge, UK"
2016-03-03,2016-03-03,"Quantum Chemical Discovery, Analysis, and Optimization of Reactivity in Homogeneous Catalysis with the Materials Science Suite",http://www.schrodinger.com/seminarcenter/64,online
2016-03-07,2016-03-11,2nd Spring school in cheminformatics,http://www.dr-kirsten.de/springschool/,"Erlangen, Germany"
2016-03-09,2016-03-11,VIZBI,http://vizbi.org/2016/,"Heidelberg, Germany"
2016-03-07,2016-03-09,OpenEye CUP meeting,http://www.eyesopen.com/events/cup-xvi,"Santa Fe, US"
2016-03-09,2016-03-11,Drug Design Data Resource: 1st annual workshop,https://drugdesigndata.org/about/1st-annual-d3r-workshop,"San Diego, US"
2016-03-13,2016-03-17,Computers in Chemistry ACS,http://www.acs.org/content/acs/en/meetings/spring-2016.html,"San Diego, US"
2016-03-15,2016-03-16,Joint meeting with Physchem Forum,http://www.ukqsar.org/2015/09/23/spring-2016-meeting-joint-meeting-with-physchem-forum/,"Stevenage, UK"
2016-03-15,2016-03-18,Schrödinger's 2nd European Life Science Bootcamp,https://www.schrodinger.com/events/566/,online
2016-03-17,2016-03-18,ICM User Group Meeting,http://www.molsoft.com/ugm2016.html,"San Diego, US"
2016-03-22,2016-03-22,Science and Open PHACTS: SureChEMBL Patent Annotations,https://attendee.gotowebinar.com/register/2792092504079134721,online
2016-03-30,2016-03-30,SciCloud 2016 - Innovation in the pharmaceutical industry,https://www.mindthebyte.com/news-press/news/scicloud-2016-will-discuss-about-the-innovation-in-the-pharma-industry/,"Barcelon, Spain"
2016-03-30,2016-04-01,Theory and Experiment: A Meeting at the Interface,http://schleyersymposium.mgms-ds.de/,"Erlangen, Germany"
2016-04-04,2016-04-06,30th Workshop on Molecular Modelling,http://mmws2016.mgms-ds.de/,"Erlangen, Germany"
2016-04-06,2016-04-08,GLISTEN GPCR meeting,http://www.grk1910.de/glisten-2016.html,"Germany, Erlangen"
2016-04-11,2016-04-11,Streamlining Drug Discovery and Development,http://www.lhasalimited.org/boston-symposium.htm,"Boston, US"
2016-04-13,2016-04-15,2nd Conference on Multiscale Modelling of Condensed Phase and Biological Systems,http://www.ccpbiosim.ac.uk/multiscale2016,"Manchester, UK"
2016-04-14,2016-04-14,Streamlining Drug Discovery and Development,http://www.lhasalimited.org/events/san-francisco-symposium-2.htm,"San Francisco, US"
2016-04-17,2016-04-20,Girona Seminar - Predictive Catalysis: Transition-Metal Reaction by Design,http://www.gironaseminar.com/,"Girona, Spain"
2016-04-18,2016-04-19,Protein Congress,http://www.proteins-congress.com/,"London, UK"
2016-04-21,2016-04-21,27th Symposium on Medicinal Chemistry in Eastern England,http://www.rsc.org/events/detail/19543/27th-symposium-on-medicinal-chemistry-in-eastern-england,"Hatfield, UK"
2016-04-24,2016-04-27,An Introductory Workshop to the Rosetta Protein Modeling Suite,http://structbio.vanderbilt.edu/comp/workshops/rosetta_apr2016/,"Nashville, US"
2016-04-25,2016-04-26,Open Viz Conference,https://openvisconf.com/#home,"Boston, US"
2016-04-28,2016-04-28,MOE Workshop,http://www.chemcomp.com/Workshops-Europe-2016.htm,"Munich, Germany"
2016-04-28,2016-04-28,2016 Vanderbilt Symposium on Modeling Immunity,https://medschool.vanderbilt.edu/vvc/events/2016-vanderbilt-symposium-modeling-immunity,"Nashville, US"
2016-05-03,2016-05-04,Bioexcel: addressing training needs for advanced simulations in biomolecular research,http://www.ebi.ac.uk/training/events/2016/bioexcel-addressing-training-needs-advanced-simulations-biomolecular-research,"Cambridge, UK"
2016-05-05,2016-05-05,"FreeForm: Rethinking Ligand Strain""",http://us2.campaign-archive1.com/?u=15a4873ed77c41435c5cce6ee&id=5a8b4012d9,Online
2016-05-16,2016-05-16,5th Bluegrass Molecular Biophysics Symposium,https://sites.google.com/site/bluegrassbiophys/,"Lexington, KY, US"
2016-05-16,2016-05-18,2016 Workshop on Free Energy Methods in Drug Design: Targeting Cancer,http://www.alchemistry.org/wiki/2016_Workshop_on_Free_Energy_Methods_in_Drug_Design:_Targeting_Cancer,"Boston, US"
2016-05-16,2016-05-19,GLBIO/CCBC Great Lakes Bioinformatics and the Canadian Computational Biology Conference,http://www.iscb.org/glbioccbc2016,"Toronto, Canada"
2016-05-19,2016-05-20,2016 Workshop on Kinetics and Markov State Models in Drug Design,http://www.alchemistry.org/wiki/2016_Workshop_on_Kinetics_and_Markov_State_Models_in_Drug_Design,"Boston, US"
2016-05-17,2016-05-20,Chemical Computing Group User Group Meeting & Conference 2016 Europe,http://www.chemcomp.com/UGM-2016-Europe.htm,"Vienna, Austria"
2016-05-23,2016-05-27,"DynaMol 2016: Dynamique moléculaire, de l'atomistique à l'échelle meso",http://dynamol2016.sciencesconf.org/,"Paris, France"
2016-05-24,2016-05-24,CompChemKitchen - Computational Chemistry in Oxford,http://compchemkitchen.org/,"Oxford, UK"
2016-05-24,2016-05-25,ChemAxon’s 12th European Annual Meeting,https://www.chemaxon.com/events/annual-meeting-budapest-2016,"Budapest, Hungary"
2016-06-01,2016-06-01,Cresset North American User Group Meeting 2016,http://www.cresset-group.com/north-american-user-group-meeting-2016/,"Cambridge, MA, US"
2016-06-04,2016-06-04,1st SoCal TheoChem Symposium,http://yuenzhougroup.ucsd.edu/conference/index.html,"La Jolla, CA, US"
2016-06-04,2016-06-11,From Solid State to Biophysics VIII: from Basic to Life Sciences,http://dubrovnik.epfl.ch/,"Dubrovnik, Croatia"
2016-06-06,2016-06-08,Computational Chemistry and its Application,http://sites.uom.ac.mu/cca/,"San Diego, US"
2016-06-06,2016-06-10,CCPBioSim Training Week,http://www.ccpbiosim.ac.uk/training-week-2016,"Bristol, UK"
2016-06-07,2016-06-10,3rd NovAliX Conference Biophysics in Drug Discovery 2016,http://www.ldorganisation.com/v2/produits.php?langue=english&cle_menus=1238916168,"Strasbourg, France"
2016-06-13,2016-06-13,Molecular Simulation at Bristol,http://www.bristol.ac.uk/chemistry/events/2016/molecular-simulation-at-bristol.html,"Bristol, UK"
2016-06-13,2016-06-15,6th RSC / SCI symposium on GPCRs in Medicinal Chemistry,http://www.rsc.org/events/detail/18631/6th-rsc-sci-symposium-on-gpcrs-in-medicinal-chemistry,"Verona, Italy"
2016-06-13,2016-06-17,SAMSON summer school,https://www.facebook.com/SAMSON.Connect/posts/458465014361625?_rdr=p,"Aix-les-Bains, France"
